Id,Part No.,Substitute Part No.,Car Brand,Category (EN),Category (TH),Subcategory (EN),Subcategory (TH),Engine Model,Name,Name (th),Details,Details (th),Remark,Remark (th)
WPA-026,5-13610-179-0,,ISUZU,Engine Group,หมวดเครื่องยนต์,Coolant Pump Assy,ปั๊มน้ำ,C240,"S250, C240, ELF","S250, C240, ELF",,,,
WPA-027,5-13610-179-0 A,,ISUZU,Engine Group,หมวดเครื่องยนต์,Coolant Pump Assy,ปั๊มน้ำ,,S250 (8 Holes Flange),S250 หน้าแปลนรถยก,,,,
WPA-028,5-13610-041-3,,ISUZU,Engine Group,หมวดเครื่องยนต์,Coolant Pump Assy,ปั๊มน้ำ,C330,"S250/76, C330","S250/76, C330",,,,
WPA-029,5-13610-150-1,,ISUZU,Engine Group,หมวดเครื่องยนต์,Coolant Pump Assy,ปั๊มน้ำ,4BA1,"S250/79, 4BA1","S250/79, 4BA1",,,,
WPA-030,5-13610-027-2,,ISUZU,Engine Group,หมวดเครื่องยนต์,Coolant Pump Assy,ปั๊มน้ำ,4BB1,"KS21, 4BB1","KS21, 4BB1",,,,
WPA-031,5-13610-027-2,,ISUZU,Engine Group,หมวดเครื่องยนต์,Coolant Pump Assy,ปั๊มน้ำ,,KS21 คอสูง,KS21 คอสูง,,,,
WPA-032,5-13610-171-1,,ISUZU,Engine Group,หมวดเครื่องยนต์,Coolant Pump Assy,ปั๊มน้ำ,4BD1,"KS22, 4BD1","KS22, 4BD1",,,,
WPA-033,5-13610-016-0,,ISUZU,Engine Group,หมวดเครื่องยนต์,Coolant Pump Assy,ปั๊มน้ำ,"6BB1, D500","6BB1, D500","6BB1, D500",,,,
WPA-034,5-13610-144-0,,ISUZU,Engine Group,หมวดเครื่องยนต์,Coolant Pump Assy,ปั๊มน้ำ,6BD1,"JCM, 6BD1","JCM, 6BD1",,,,
WPA-035,5-13610-099-0,,ISUZU,Engine Group,หมวดเครื่องยนต์,Coolant Pump Assy,ปั๊มน้ำ,6BD1,6BD1 TRACTOR (SHORT),6BD1 แทรกเตอร์ (คอสั้น),,,,
WPA-036,5-13610-098-0,,ISUZU,Engine Group,หมวดเครื่องยนต์,Coolant Pump Assy,ปั๊มน้ำ,6BD1,6BD1 TRACTOR (TALL),6BD1 แทรกเตอร์ (คอยาว),,,,
WPA-037,,,ISUZU,Engine Group,หมวดเครื่องยนต์,Coolant Pump Assy,ปั๊มน้ำ,6BF1,6BF1,6BF1,Flange Diameter : ,หน้าแปลน,,
WPA-038,1-13610-470-1,,ISUZU,Engine Group,หมวดเครื่องยนต์,Coolant Pump Assy,ปั๊มน้ำ,,JUMBO 200,JUMBO 200 แรง,,,,
WPA-039,9-13610-069-0,,ISUZU,Engine Group,หมวดเครื่องยนต์,Coolant Pump Assy,ปั๊มน้ำ,DA220,S68,S68,,,,
