Id,Part No.,Substitute Part No.,Car Brand,Category (EN),Category (TH),Subcategory,Engine Model,Name,Name (th),Details,Details (th),Remark,Remark (th)
WPA-032,5-13610-171-1,,ISUZU,Water Pump Assy,ปั๊มน้ำ,,4BD1,"KS22, 4BD1","KS22, 4BD1",,,,
WPA-033,5-13610-016-0,,ISUZU,Water Pump Assy,ปั๊มน้ำ,,"6BB1, D500","6BB1, D500","6BB1, D500",,,,
WPA-034,5-13610-144-0,,ISUZU,Water Pump Assy,ปั๊มน้ำ,,6BD1,"JCM, 6BD1","JCM, 6BD1",,,,
WPA-035,5-13610-099-0,,ISUZU,Water Pump Assy,ปั๊มน้ำ,,6BD1,6BD1 TRACTOR (SHORT),6BD1 แทรกเตอร์ (คอสั้น),,,,
WPA-036,5-13610-098-0,,ISUZU,Water Pump Assy,ปั๊มน้ำ,,6BD1,6BD1 TRACTOR (TALL),6BD1 แทรกเตอร์ (คอยาว),,,,
WPA-037,,,ISUZU,Water Pump Assy,ปั๊มน้ำ,,6BF1,6BF1,6BF1,Flange Diameter : ,หน้าแปลน โต ,,
WPA-038,1-13610-470-1,,ISUZU,Water Pump Assy,ปั๊มน้ำ,,,JUMBO 200HP,JUMBO 200 แรง,,,,
WPA-039,9-13610-069-0,,ISUZU,Water Pump Assy,ปั๊มน้ำ,,DA220,S68,S68,,,,
WPA-040,9-13610-450-0,,ISUZU,Water Pump Assy,ปั๊มน้ำ,,DA120,TX74,TX74,,,,
WPA-041,5-13610-169-3,,ISUZU,Water Pump Assy,ปั๊มน้ำ,,C240 (Fork Lift),TCM (FORK LIFT),TCM (รถยก),,,,
WPA-042,5-13610-184-0,,ISUZU,Water Pump Assy,ปั๊มน้ำ,,4BC2,"NKR 110, 4BC2","NKR 110, 4BC2",,,,
WPA-043,8-97021-171-0,,ISUZU,Water Pump Assy,ปั๊มน้ำ,,4BE1,"NPR 115, 4BE1","NPR 115, 4BE1",,,,
WPA-044,8-97019-676-0,,ISUZU,Water Pump Assy,ปั๊มน้ำ,,"4HF1, 4HG1","NPR 120, 4HF1","NPR 120, 4HF1",,,,
WPA-045,1-13610-819-0,,ISUZU,Water Pump Assy,ปั๊มน้ำ,,6BG1,"ROCKY 175, 6BG1","ROCKY 175, 6BG1",,,,
